2018-07-05 17:02:19 startup packages purge
2018-07-05 17:02:19 status installed apport-symptoms:all 0.20
2018-07-05 17:02:19 remove apport-symptoms:all 0.20 <none>
2018-07-05 17:02:19 status half-configured apport-symptoms:all 0.20
2018-07-05 17:02:19 status half-installed apport-symptoms:all 0.20
2018-07-05 17:02:19 status config-files apport-symptoms:all 0.20
2018-07-05 17:02:19 status config-files apport-symptoms:all 0.20
2018-07-05 17:02:19 status config-files apport-symptoms:all 0.20
2018-07-05 17:02:19 status not-installed apport-symptoms:all <none>
2018-07-05 17:02:19 status installed busybox-static:amd64 1:1.22.0-15ubuntu1
2018-07-05 17:02:19 remove busybox-static:amd64 1:1.22.0-15ubuntu1 <none>
2018-07-05 17:02:19 status half-configured busybox-static:amd64 1:1.22.0-15ubuntu1
2018-07-05 17:02:19 status half-installed busybox-static:amd64 1:1.22.0-15ubuntu1
2018-07-05 17:02:19 status config-files busybox-static:amd64 1:1.22.0-15ubuntu1
2018-07-05 17:02:19 status config-files busybox-static:amd64 1:1.22.0-15ubuntu1
2018-07-05 17:02:19 status config-files busybox-static:amd64 1:1.22.0-15ubuntu1
2018-07-05 17:02:19 status not-installed busybox-static:amd64 <none>
2018-07-05 17:02:19 status installed ubuntu-server:amd64 1.361.1
2018-07-05 17:02:19 remove ubuntu-server:amd64 1.361.1 <none>
2018-07-05 17:02:19 status half-configured ubuntu-server:amd64 1.361.1
2018-07-05 17:02:19 status half-installed ubuntu-server:amd64 1.361.1
2018-07-05 17:02:19 status config-files ubuntu-server:amd64 1.361.1
2018-07-05 17:02:19 status config-files ubuntu-server:amd64 1.361.1
2018-07-05 17:02:19 status config-files ubuntu-server:amd64 1.361.1
2018-07-05 17:02:19 status not-installed ubuntu-server:amd64 <none>
2018-07-05 17:02:19 status installed byobu:all 5.106-0ubuntu1
2018-07-05 17:02:19 remove byobu:all 5.106-0ubuntu1 <none>
2018-07-05 17:02:19 status half-configured byobu:all 5.106-0ubuntu1
2018-07-05 17:02:19 status half-installed byobu:all 5.106-0ubuntu1
2018-07-05 17:02:19 status config-files byobu:all 5.106-0ubuntu1
2018-07-05 17:02:19 purge byobu:all 5.106-0ubuntu1 <none>
2018-07-05 17:02:19 status config-files byobu:all 5.106-0ubuntu1
2018-07-05 17:02:19 status config-files byobu:all 5.106-0ubuntu1
2018-07-05 17:02:19 status config-files byobu:all 5.106-0ubuntu1
2018-07-05 17:02:19 status config-files byobu:all 5.106-0ubuntu1
2018-07-05 17:02:19 status config-files byobu:all 5.106-0ubuntu1
2018-07-05 17:02:19 status not-installed byobu:all <none>
2018-07-05 17:02:19 status installed kbd:amd64 1.15.5-1ubuntu5
2018-07-05 17:02:19 status installed console-setup:all 1.108ubuntu15.4
2018-07-05 17:02:19 status installed console-setup-linux:all 1.108ubuntu15.4
2018-07-05 17:02:19 status installed overlayroot:all 0.27ubuntu1.5
2018-07-05 17:02:19 remove overlayroot:all 0.27ubuntu1.5 <none>
2018-07-05 17:02:19 status half-configured overlayroot:all 0.27ubuntu1.5
2018-07-05 17:02:19 status half-installed overlayroot:all 0.27ubuntu1.5
2018-07-05 17:02:19 status triggers-pending initramfs-tools:all 0.122ubuntu8.11
2018-07-05 17:02:19 status half-installed overlayroot:all 0.27ubuntu1.5
2018-07-05 17:02:19 status config-files overlayroot:all 0.27ubuntu1.5
2018-07-05 17:02:19 purge overlayroot:all 0.27ubuntu1.5 <none>
2018-07-05 17:02:19 status config-files overlayroot:all 0.27ubuntu1.5
2018-07-05 17:02:19 status config-files overlayroot:all 0.27ubuntu1.5
2018-07-05 17:02:19 status config-files overlayroot:all 0.27ubuntu1.5
2018-07-05 17:02:19 status config-files overlayroot:all 0.27ubuntu1.5
2018-07-05 17:02:19 status config-files overlayroot:all 0.27ubuntu1.5
2018-07-05 17:02:19 status config-files overlayroot:all 0.27ubuntu1.5
2018-07-05 17:02:19 status not-installed overlayroot:all <none>
2018-07-05 17:02:19 status installed cryptsetup:amd64 2:1.6.6-5ubuntu2.1
2018-07-05 17:02:19 remove cryptsetup:amd64 2:1.6.6-5ubuntu2.1 <none>
2018-07-05 17:02:19 status half-configured cryptsetup:amd64 2:1.6.6-5ubuntu2.1
2018-07-05 17:02:20 status half-installed cryptsetup:amd64 2:1.6.6-5ubuntu2.1
2018-07-05 17:02:20 status config-files cryptsetup:amd64 2:1.6.6-5ubuntu2.1
2018-07-05 17:02:20 purge cryptsetup:amd64 2:1.6.6-5ubuntu2.1 <none>
2018-07-05 17:02:20 status config-files cryptsetup:amd64 2:1.6.6-5ubuntu2.1
2018-07-05 17:02:20 status config-files cryptsetup:amd64 2:1.6.6-5ubuntu2.1
2018-07-05 17:02:20 status config-files cryptsetup:amd64 2:1.6.6-5ubuntu2.1
2018-07-05 17:02:21 status config-files cryptsetup:amd64 2:1.6.6-5ubuntu2.1
2018-07-05 17:02:21 status config-files cryptsetup:amd64 2:1.6.6-5ubuntu2.1
2018-07-05 17:02:21 status not-installed cryptsetup:amd64 <none>
2018-07-05 17:02:21 status installed file:amd64 1:5.25-2ubuntu1.1
2018-07-05 17:02:21 remove file:amd64 1:5.25-2ubuntu1.1 <none>
2018-07-05 17:02:21 status half-configured file:amd64 1:5.25-2ubuntu1.1
2018-07-05 17:02:21 status half-installed file:amd64 1:5.25-2ubuntu1.1
2018-07-05 17:02:21 status config-files file:amd64 1:5.25-2ubuntu1.1
2018-07-05 17:02:21 status config-files file:amd64 1:5.25-2ubuntu1.1
2018-07-05 17:02:21 status config-files file:amd64 1:5.25-2ubuntu1.1
2018-07-05 17:02:21 status not-installed file:amd64 <none>
2018-07-05 17:02:21 status installed git:amd64 1:2.7.4-0ubuntu1.4
2018-07-05 17:02:21 remove git:amd64 1:2.7.4-0ubuntu1.4 <none>
2018-07-05 17:02:21 status half-configured git:amd64 1:2.7.4-0ubuntu1.4
2018-07-05 17:02:21 status half-installed git:amd64 1:2.7.4-0ubuntu1.4
2018-07-05 17:02:21 status config-files git:amd64 1:2.7.4-0ubuntu1.4
2018-07-05 17:02:21 purge git:amd64 1:2.7.4-0ubuntu1.4 <none>
2018-07-05 17:02:21 status config-files git:amd64 1:2.7.4-0ubuntu1.4
2018-07-05 17:02:21 status config-files git:amd64 1:2.7.4-0ubuntu1.4
2018-07-05 17:02:21 status config-files git:amd64 1:2.7.4-0ubuntu1.4
2018-07-05 17:02:21 status config-files git:amd64 1:2.7.4-0ubuntu1.4
2018-07-05 17:02:21 status config-files git:amd64 1:2.7.4-0ubuntu1.4
2018-07-05 17:02:21 status not-installed git:amd64 <none>
2018-07-05 17:02:21 status installed software-properties-common:all 0.96.20.7
2018-07-05 17:02:21 remove software-properties-common:all 0.96.20.7 <none>
2018-07-05 17:02:21 status half-configured software-properties-common:all 0.96.20.7
2018-07-05 17:02:21 status half-installed software-properties-common:all 0.96.20.7
2018-07-05 17:02:21 status triggers-pending dbus:amd64 1.10.6-1ubuntu3.3
2018-07-05 17:02:21 status config-files software-properties-common:all 0.96.20.7
2018-07-05 17:02:21 purge software-properties-common:all 0.96.20.7 <none>
2018-07-05 17:02:21 status config-files software-properties-common:all 0.96.20.7
2018-07-05 17:02:21 status config-files software-properties-common:all 0.96.20.7
2018-07-05 17:02:21 status config-files software-properties-common:all 0.96.20.7
2018-07-05 17:02:21 status config-files software-properties-common:all 0.96.20.7
2018-07-05 17:02:21 status config-files software-properties-common:all 0.96.20.7
2018-07-05 17:02:21 status not-installed software-properties-common:all <none>
2018-07-05 17:02:21 status installed python3-software-properties:all 0.96.20.7
2018-07-05 17:02:21 remove python3-software-properties:all 0.96.20.7 <none>
2018-07-05 17:02:21 status half-configured python3-software-properties:all 0.96.20.7
2018-07-05 17:02:21 status half-installed python3-software-properties:all 0.96.20.7
2018-07-05 17:02:21 status config-files python3-software-properties:all 0.96.20.7
2018-07-05 17:02:21 status config-files python3-software-properties:all 0.96.20.7
2018-07-05 17:02:21 status config-files python3-software-properties:all 0.96.20.7
2018-07-05 17:02:21 status not-installed python3-software-properties:all <none>
2018-07-05 17:02:21 status installed iso-codes:all 3.65-1
2018-07-05 17:02:21 remove iso-codes:all 3.65-1 <none>
2018-07-05 17:02:21 status half-configured iso-codes:all 3.65-1
2018-07-05 17:02:21 status half-installed iso-codes:all 3.65-1
2018-07-05 17:02:21 status config-files iso-codes:all 3.65-1
2018-07-05 17:02:21 status config-files iso-codes:all 3.65-1
2018-07-05 17:02:21 status config-files iso-codes:all 3.65-1
2018-07-05 17:02:21 status not-installed iso-codes:all <none>
2018-07-05 17:02:21 status installed keyboard-configuration:all 1.108ubuntu15.4
2018-07-05 17:02:21 status installed less:amd64 481-2.1ubuntu0.2
2018-07-05 17:02:21 remove less:amd64 481-2.1ubuntu0.2 <none>
2018-07-05 17:02:21 status half-configured less:amd64 481-2.1ubuntu0.2
2018-07-05 17:02:21 status half-installed less:amd64 481-2.1ubuntu0.2
2018-07-05 17:02:21 status triggers-pending mime-support:all 3.59ubuntu1
2018-07-05 17:02:21 status config-files less:amd64 481-2.1ubuntu0.2
2018-07-05 17:02:21 purge less:amd64 481-2.1ubuntu0.2 <none>
2018-07-05 17:02:21 status config-files less:amd64 481-2.1ubuntu0.2
2018-07-05 17:02:21 status config-files less:amd64 481-2.1ubuntu0.2
2018-07-05 17:02:21 status config-files less:amd64 481-2.1ubuntu0.2
2018-07-05 17:02:21 status config-files less:amd64 481-2.1ubuntu0.2
2018-07-05 17:02:21 status config-files less:amd64 481-2.1ubuntu0.2
2018-07-05 17:02:22 status not-installed less:amd64 <none>
2018-07-05 17:02:22 status installed plymouth-theme-ubuntu-text:amd64 0.9.2-3ubuntu13.5
2018-07-05 17:02:22 remove plymouth-theme-ubuntu-text:amd64 0.9.2-3ubuntu13.5 <none>
2018-07-05 17:02:22 status half-configured plymouth-theme-ubuntu-text:amd64 0.9.2-3ubuntu13.5
2018-07-05 17:02:22 status half-installed plymouth-theme-ubuntu-text:amd64 0.9.2-3ubuntu13.5
2018-07-05 17:02:22 status config-files plymouth-theme-ubuntu-text:amd64 0.9.2-3ubuntu13.5
2018-07-05 17:02:22 purge plymouth-theme-ubuntu-text:amd64 0.9.2-3ubuntu13.5 <none>
2018-07-05 17:02:22 status config-files plymouth-theme-ubuntu-text:amd64 0.9.2-3ubuntu13.5
2018-07-05 17:02:22 status config-files plymouth-theme-ubuntu-text:amd64 0.9.2-3ubuntu13.5
2018-07-05 17:02:22 status config-files plymouth-theme-ubuntu-text:amd64 0.9.2-3ubuntu13.5
2018-07-05 17:02:22 status config-files plymouth-theme-ubuntu-text:amd64 0.9.2-3ubuntu13.5
2018-07-05 17:02:22 status config-files plymouth-theme-ubuntu-text:amd64 0.9.2-3ubuntu13.5
2018-07-05 17:02:22 status not-installed plymouth-theme-ubuntu-text:amd64 <none>
2018-07-05 17:02:22 status installed plymouth:amd64 0.9.2-3ubuntu13.5
2018-07-05 17:02:22 remove plymouth:amd64 0.9.2-3ubuntu13.5 <none>
2018-07-05 17:02:22 status half-configured plymouth:amd64 0.9.2-3ubuntu13.5
2018-07-05 17:02:22 status half-installed plymouth:amd64 0.9.2-3ubuntu13.5
2018-07-05 17:02:22 status config-files plymouth:amd64 0.9.2-3ubuntu13.5
2018-07-05 17:02:22 purge plymouth:amd64 0.9.2-3ubuntu13.5 <none>
2018-07-05 17:02:22 status config-files plymouth:amd64 0.9.2-3ubuntu13.5
2018-07-05 17:02:22 status config-files plymouth:amd64 0.9.2-3ubuntu13.5
2018-07-05 17:02:22 status config-files plymouth:amd64 0.9.2-3ubuntu13.5
2018-07-05 17:02:22 status config-files plymouth:amd64 0.9.2-3ubuntu13.5
2018-07-05 17:02:22 status config-files plymouth:amd64 0.9.2-3ubuntu13.5
2018-07-05 17:02:22 status not-installed plymouth:amd64 <none>
2018-07-05 17:02:22 status installed open-vm-tools:amd64 2:10.2.0-3~ubuntu0.16.04.1
2018-07-05 17:02:22 remove open-vm-tools:amd64 2:10.2.0-3~ubuntu0.16.04.1 <none>
2018-07-05 17:02:22 status triggers-pending libc-bin:amd64 2.23-0ubuntu10
2018-07-05 17:02:22 status half-configured open-vm-tools:amd64 2:10.2.0-3~ubuntu0.16.04.1
2018-07-05 17:02:22 status half-installed open-vm-tools:amd64 2:10.2.0-3~ubuntu0.16.04.1
2018-07-05 17:02:22 status config-files open-vm-tools:amd64 2:10.2.0-3~ubuntu0.16.04.1
2018-07-05 17:02:22 purge open-vm-tools:amd64 2:10.2.0-3~ubuntu0.16.04.1 <none>
2018-07-05 17:02:22 status config-files open-vm-tools:amd64 2:10.2.0-3~ubuntu0.16.04.1
2018-07-05 17:02:22 status config-files open-vm-tools:amd64 2:10.2.0-3~ubuntu0.16.04.1
2018-07-05 17:02:22 status config-files open-vm-tools:amd64 2:10.2.0-3~ubuntu0.16.04.1
2018-07-05 17:02:23 status config-files open-vm-tools:amd64 2:10.2.0-3~ubuntu0.16.04.1
2018-07-05 17:02:23 status config-files open-vm-tools:amd64 2:10.2.0-3~ubuntu0.16.04.1
2018-07-05 17:02:23 status not-installed open-vm-tools:amd64 <none>
2018-07-05 17:02:23 status installed libdrm2:amd64 2.4.91-2~16.04.1
2018-07-05 17:02:23 remove libdrm2:amd64 2.4.91-2~16.04.1 <none>
2018-07-05 17:02:23 status half-configured libdrm2:amd64 2.4.91-2~16.04.1
2018-07-05 17:02:23 status half-installed libdrm2:amd64 2.4.91-2~16.04.1
2018-07-05 17:02:23 status config-files libdrm2:amd64 2.4.91-2~16.04.1
2018-07-05 17:02:23 status config-files libdrm2:amd64 2.4.91-2~16.04.1
2018-07-05 17:02:23 status config-files libdrm2:amd64 2.4.91-2~16.04.1
2018-07-05 17:02:23 status not-installed libdrm2:amd64 <none>
2018-07-05 17:02:23 status installed libdrm-common:all 2.4.91-2~16.04.1
2018-07-05 17:02:23 remove libdrm-common:all 2.4.91-2~16.04.1 <none>
2018-07-05 17:02:23 status half-configured libdrm-common:all 2.4.91-2~16.04.1
2018-07-05 17:02:23 status half-installed libdrm-common:all 2.4.91-2~16.04.1
